City,lat,temp,sunrise,sunset,solar_rad,day_length
oiso,35.31558,18.3,10/27/2020 20:59,10/27/2020 7:52,411.5,653
mahebourg,-20.40806,21.1,10/27/2020 1:30,10/27/2020 14:16,66.6,766
khormuj,28.6543,6,10/27/2020 2:39,10/27/2020 13:47,0,668
palmer,10.74055,28,10/27/2020 10:49,10/27/2020 22:36,0,707
pokhara,28.26689,23.9,10/27/2020 0:25,10/27/2020 11:42,259.5,677
areka,7.06667,23.6,10/27/2020 2:56,10/27/2020 14:57,0,721
zilair,52.2332,-2.2,10/27/2020 2:54,10/27/2020 12:42,0,588
sungairaya,-2.8566,31.3,10/27/2020 21:57,10/27/2020 10:11,873,734
georgetown,12.05644,25,10/27/2020 9:58,10/27/2020 21:43,0,705
awbari,26.59206,18.5,10/27/2020 5:29,10/27/2020 16:40,0,671
huarmey,-10.06806,16.7,10/27/2020 10:49,10/27/2020 23:11,0,742
ushuaia,-54.8,9,10/27/2020 8:53,10/27/2020 23:41,0,888
butaritari,44.73333,8.8,10/27/2020 4:55,10/27/2020 15:21,0,626
tsihombe,-25.3,18.6,10/27/2020 2:13,10/27/2020 15:07,0,774
jamestown,-15.93872,25.3,10/27/2020 5:40,10/27/2020 17:46,0,726
upernavik,72.78684,-10.9,10/27/2020 11:25,10/27/2020 18:48,0,443
punta arenas,-53.15483,7,10/27/2020 9:09,10/27/2020 23:46,0,877
bambous virieux,-20.34278,21.1,10/27/2020 1:30,10/27/2020 14:16,66.6,766
kholm-zhirkovskiy,55.51889,5,10/27/2020 4:26,10/27/2020 14:02,0,576
constitucion,25.0321,21.4,10/27/2020 13:31,10/27/2020 0:46,0,675
rapid valley,44.06249,-16,10/27/2020 13:23,10/27/2020 23:49,0,626
talara,-4.57722,21.3,10/27/2020 10:58,10/27/2020 23:12,0,734
albany,31.57851,24,10/27/2020 11:48,10/27/2020 22:51,0,663
east london,-33.01529,14.5,10/27/2020 3:12,10/27/2020 16:26,0,794
cabo san lucas,22.89088,23.8,10/27/2020 13:22,10/27/2020 0:44,0,682
akhtubinsk,48.27955,5.6,10/27/2020 3:41,10/27/2020 13:50,0,609
iaciara,-14.09583,20.6,10/27/2020 8:36,10/27/2020 21:14,0,758
san cristobal,9.87809,26.4,10/27/2020 10:51,10/27/2020 22:39,0,708
puerto ayora,-0.74018,20,10/27/2020 11:40,10/27/2020 23:49,0,729
bredasdorp,-34.53215,14.3,10/27/2020 3:48,10/27/2020 17:09,0,801
avera,-22.47814,25.4,10/27/2020 15:21,10/27/2020 4:02,297.7,761
hermanus,-34.4187,14.3,10/27/2020 3:48,10/27/2020 17:08,0,800
provideniya,64.42289,0.4,10/27/2020 18:54,10/27/2020 3:29,31.4,515
bluff,-46.6,11.2,10/27/2020 17:28,10/27/2020 7:25,364.5,837
nova olinda do norte,-3.89174,27.9,10/27/2020 9:37,10/27/2020 21:50,0,733
mazagao,33.25492,12.8,10/27/2020 6:44,10/27/2020 17:43,0,659
grand river south east,-20.28611,21.1,10/27/2020 1:30,10/27/2020 14:16,66.6,766
tazovskiy,67.4715,-4.2,10/27/2020 2:07,10/27/2020 11:07,0,540
mar del plata,-38.00228,9.1,10/27/2020 8:46,10/27/2020 22:15,0,809
bolungarvik,66.15917,3.2,10/27/2020 8:57,10/27/2020 17:29,0,512
beringovskiy,63.06101,-4.1,10/27/2020 19:41,10/27/2020 4:06,22.7,505
araouane,18.90476,25.2,10/27/2020 6:10,10/27/2020 17:50,0,700
turukhansk,65.79479,-19.6,10/27/2020 2:11,10/27/2020 9:36,3.2,445
hithadhoo,-0.6,27.3,10/27/2020 0:40,10/27/2020 12:31,81.5,711
rikitea,-23.12028,23.8,10/27/2020 14:53,10/27/2020 3:47,42.7,774
kampong thum,12.71112,28.6,10/27/2020 22:51,10/27/2020 10:37,139.7,706
chuy,42.81973,-1.3,10/27/2020 1:30,10/27/2020 12:03,50.7,633
dunedin,-45.87416,12.4,10/27/2020 17:20,10/27/2020 7:18,821.4,838
port alfred,-33.58601,15.4,10/27/2020 3:28,10/27/2020 16:44,0,796
arroyo,41.60956,5,10/27/2020 6:45,10/27/2020 17:20,0,635
vaini,-21.19292,23,10/27/2020 16:59,10/27/2020 5:48,832.9,769
taolanaro,-25.03249,18.6,10/27/2020 2:13,10/27/2020 15:07,0,774
maragogi,-9.01222,23.5,10/27/2020 7:54,10/27/2020 20:19,0,745
takaka,-40.85,9.2,10/27/2020 17:22,10/27/2020 7:03,85.4,821
isangel,-19.54167,29,10/27/2020 18:04,10/27/2020 6:49,996.8,765
nuuk,64.18347,-2,10/27/2020 10:55,10/27/2020 19:24,0,509
hasaki,35.73333,19.9,10/27/2020 20:56,10/27/2020 7:48,561.3,652
iqaluit,63.74697,-9,10/27/2020 12:00,10/27/2020 20:34,0,514
thap than,15.46063,26.1,10/27/2020 23:10,10/27/2020 10:50,107.3,700
kaeo,-35.1,22.2,10/27/2020 17:21,10/27/2020 6:49,269.6,808
arraial do cabo,-22.96611,22.1,10/27/2020 8:10,10/27/2020 21:03,0,773
san rafael,6.29436,14.1,10/27/2020 10:48,10/27/2020 22:43,0,715
harper,4.3782,25.5,10/27/2020 6:00,10/27/2020 17:58,0,718
hami,51.68033,8.8,10/27/2020 6:14,10/27/2020 16:10,0,596
kruisfontein,-34.00333,15.4,10/27/2020 3:28,10/27/2020 16:44,0,796
talnakh,69.4865,2.8,10/27/2020 1:16,10/27/2020 10:48,0,572
parauna,-99,-99,-99,-99,-99,-99
quelimane,-17.87861,22.4,10/27/2020 3:01,10/27/2020 15:47,0,766
anori,7.18333,14.1,10/27/2020 10:48,10/27/2020 22:43,0,715
burica,8.03333,18.9,10/27/2020 11:18,10/27/2020 23:09,0,711
sambava,-14.26667,19.1,10/27/2020 2:05,10/27/2020 14:47,0,762
barentsburg,78.06439,8,10/27/2020 6:56,10/27/2020 14:20,0,444
norman wells,65.28201,-6.7,10/27/2020 16:02,10/27/2020 0:18,0,496
cabangahan,9.0781,28.6,10/27/2020 21:35,10/27/2020 9:25,650,710
beloha,-25.16667,18.6,10/27/2020 2:13,10/27/2020 15:07,0,774
conakry,9.53795,22.3,10/27/2020 6:40,10/27/2020 18:24,0,704
